disc_number,duration_ms,explicit,track_number,track_popularity,track_id,track_name,audio_features.danceability,audio_features.energy,audio_features.key,audio_features.loudness,audio_features.mode,audio_features.speechiness,audio_features.acousticness,audio_features.instrumentalness,audio_features.liveness,audio_features.valence,audio_features.tempo,audio_features.id,audio_features.time_signature,artist_id,artist_name,artist_popularity,album_id,album_name,album_release_date,album_total_tracks
1,212600,False,1,77,4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),0.757,0.61,7.0,-4.84,1,0.0327,0.00942,3.66e-05,0.367,0.685,116.998,4WUepByoeqcedHoYhSNHRt,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,231833,False,2,78,0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),0.733,0.733,0.0,-5.376,1,0.067,5,0,0.168,0.701,96.057,0108kcWLnn2HlH2kedi1gn,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,231000,False,3,79,3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),0.511,0.822,11.0,-4.785,0,0.0397,0.000421,0.0197,0.0899,0.305,94.868,3Vpk1hfMAQme8VJ0SNRSkd,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,235800,False,4,78,1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),0.545,0.885,0.0,-5.968,1,0.0447,-0.000537,5.59e-05,0.385,0.206,92.021,1OcSfkeCg9hRC2sFKB4IMJ,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,193289,False,5,77,2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),0.588,0.721,0.0,-5.579,1,0.0317,0.000656,0,0.131,0.52,96.997,2k0ZEeAqzvYMcx9Qt5aClQ,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,219209,False,6,76,50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),0.636,0.808,7.0,-5.693,1,0.0729,0.0121,2.18e-05,0.359,0.917,160.058,50yNTF0Od55qnHLxYsA5Pw,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,207650,False,7,76,3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),0.67,0.858,0.0,-6.528,1,0.0439,-0.00354,1.25e-05,0.0687,0.539,118.009,3FxJDucHWdw6caWTKO5b23,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,211103,False,8,75,7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),0.618,0.683,7.0,-6.438,1,0.194,0.0362,0,0.305,0.363,169.971,7oZONwFiFIErZcXAtTu7FY,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,220433,False,9,76,27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),0.589,0.674,8.0,-7.48,1,0.0656,0.0436,7.18e-05,0.112,0.514,139.985,27exgla7YBw9DUNNcTIpjy,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
1,247533,False,10,76,733OhaXQIHY7BKtY3vnSkn,How You Get The Girl (Taylor's Version),0.758,0.691,5.0,-5.798,1,0.0515,0.00196,1.09e-05,0.0939,0.538,119.997,733OhaXQIHY7BKtY3vnSkn,4.0,06HL4z0CvFAxyc27GX,Taylor Swift,120,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,22
